K	L1	L2	L3	M1	M2	M3	M4	M5	N1	N2	N3	N4	N5	N6	N7	O1	O2	O3	O4	O5	O6	O7	P1	P2	P3	P4	P5	Q1
0.0399	0.155	0.0798	0.0798	0.441	0.282	0.282	0.275	0.275	1.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0381	0.147	0.0755	0.0755	0.415	0.264	0.264	0.25	0.25	1.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0365	0.14	0.0716	0.0716	0.398	0.253	0.253	0.261	0.261	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.035	0.133	0.0681	0.0681	0.373	0.235	0.235	0.215	0.215	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0336	0.127	0.065	0.065	0.355	0.223	0.223	0.201	0.201	1.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0323	0.122	0.0621	0.0621	0.339	0.212	0.212	0.19	0.19	1.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0311	0.117	0.0595	0.0595	0.325	0.202	0.202	0.179	0.179	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0301	0.112	0.0571	0.0571	0.315	0.196	0.196	0.185	0.185	1.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.029	0.108	0.0549	0.0549	0.299	0.186	0.186	0.162	0.162	1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0281	0.104	0.0528	0.0528	0.285	0.176	0.176	0.146	0.146	1.18	0.915	0.915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0272	0.101	0.0509	0.0509	0.271	0.167	0.167	0.133	0.133	1.03	0.769	0.769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0263	0.0971	0.0491	0.0491	0.258	0.158	0.158	0.123	0.123	0.922	0.674	0.674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0255	0.0939	0.0475	0.0475	0.247	0.151	0.151	0.114	0.114	0.839	0.604	0.604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0248	0.0909	0.0459	0.0459	0.236	0.144	0.144	0.107	0.107	0.772	0.549	0.549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0234	0.0862	0.0433	0.0443	0.222	0.134	0.137	0.101	0.101	0.705	0.496	0.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0227	0.0835	0.0419	0.0429	0.213	0.129	0.131	0.095	0.0957	0.631	0.433	0.443	0	0	0	0	2.56	0	0	0	0	0	0	0	0	0	0	0	0
0.0221	0.0809	0.0406	0.0416	0.204	0.123	0.125	0.0901	0.0907	0.573	0.389	0.397	0	0	0	0	2.06	0	0	0	0	0	0	0	0	0	0	0	0
0.0215	0.0785	0.0394	0.0404	0.196	0.118	0.12	0.0856	0.0863	0.533	0.361	0.366	0.454	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0
0.0209	0.0762	0.0382	0.0392	0.189	0.114	0.116	0.0816	0.0823	0.501	0.339	0.342	0.393	0	0	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0
0.0203	0.0741	0.0371	0.0381	0.182	0.109	0.112	0.0779	0.0787	0.48	0.324	0.326	0.385	0	0	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0
0.0198	0.072	0.036	0.371	0.176	0.105	0.108	0.0747	0.0754	0.456	0.306	0.39	0.347	0.357	0	0	1.82	0	0	0	0	0	0	0	0	0	0	0	0
0.0193	0.07	0.035	0.0361	0.17	0.102	0.104	0.0717	0.0724	0.043	0.287	0.291	0.299	0.305	0	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0
0.0188	0.0682	0.0341	0.0352	0.164	0.0982	0.101	0.069	0.0697	0.416	0.276	0.281	0.296	0.303	0	0	1.74	0	0	0	0	0	0	0	0	0	0	0	0
0.0184	0.0664	0.0332	0.0343	0.159	0.0949	0.0973	0.0665	0.0671	0.399	0.263	0.27	0.277	0.283	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0
0.0179	0.0647	0.0323	0.0335	0.154	0.0919	0.0943	0.0642	0.0647	0.386	0.254	0.261	0.278	0.285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0175	0.0631	0.0315	0.0327	0.149	0.0891	0.0915	0.062	0.0625	0.369	0.242	0.249	0.247	0.251	0	0	1.64	0	0	0	0	0	0	0	0	0	0	0	0
0.0171	0.0615	0.0307	0.0319	0.145	0.0864	0.0888	0.06	0.0605	0.352	0.23	0.237	0.224	0.228	0	0	1.45	0	0	0	0	0	0	0	0	0	0	0	0
0.0167	0.06	0.0299	0.0311	0.141	0.0838	0.0863	0.0581	0.0586	0.336	0.219	0.226	0.206	0.208	0	0	1.24	0.962	0	0	0	0	0	0	0	0	0	0	0
0.0163	0.0586	0.0292	0.0304	0.137	0.0814	0.0839	0.0563	0.0569	0.322	0.209	0.216	0.192	0.193	0	0	1.1	0.836	0	0	0	0	0	0	0	0	0	0	0
0.0159	0.0572	0.0285	0.0298	0.133	0.0791	0.0816	0.0546	0.0552	0.329	0.2	0.207	0.179	0.181	0	0	1	0.737	0.764	0	0	0	0	0	0	0	0	0	0
0.0156	0.0559	0.0278	0.0291	0.13	0.0769	0.0794	0.053	0.0536	0.296	0.191	0.198	0.168	0.17	0	0	0.92	0.665	0.693	0	0	0	0	0	0	0	0	0	0
0.0153	0.0547	0.0272	0.0285	0.126	0.0748	0.0774	0.0515	0.0521	0.285	0.184	0.19	0.159	0.161	0	0	0.853	0.608	0.637	0	0	0	0	0	0	0	0	0	0
0.0149	0.0535	0.0265	0.0279	0.123	0.0729	0.0754	0.0501	0.0507	0.274	0.176	0.182	0.151	0.153	0	0	0.797	0.562	0.592	0	0	0	0	0	0	0	0	0	0
0.0146	0.0523	0.0259	0.0273	0.12	0.071	0.0735	0.0488	0.0494	0.264	0.17	0.176	0.144	0.145	0	0	0.72	0.498	0.522	0	0	0	0	2.74	0	0	0	0	0
0.0143	0.0512	0.0254	0.0268	0.117	0.0692	0.0718	0.0475	0.0481	0.255	0.163	0.169	0.137	0.139	0	0	0.657	0.452	0.473	0	0	0	0	2.23	0	0	0	0	0
0.014	0.0501	0.0248	0.0263	0.114	0.0675	0.0701	0.0463	0.0469	0.246	0.158	0.163	0.131	0.133	0	0	0.616	0.424	0.44	0.509	0	0	0	2.07	0	0	0	0	0
0.0137	0.049	0.0243	0.0257	0.111	0.0658	0.0684	0.0452	0.0458	0.239	0.153	0.159	0.127	0.129	0.142	0	0.602	0.414	4.31	0.498	0	0	0	2.05	0	0	0	0	0
0.0135	0.048	0.0238	0.0252	0.109	0.0643	0.0669	0.0441	0.0447	0.234	0.15	0.156	0.125	0.126	0.149	0	0.609	0.417	0.442	0	0	0	0	2.15	0	0	0	0	0
0.0132	0.047	0.0233	0.0248	0.106	0.0628	0.0654	0.0431	0.0436	0.228	0.146	0.152	0.121	0.123	0.141	0	0.597	0.407	0.434	0	0	0	0	2.13	0	0	0	0	0
0.0129	0.0461	0.0228	0.0243	0.104	0.0613	0.064	0.0421	0.0426	0.223	0.142	0.148	0.118	0.119	0.134	0	0.586	0.399	4.27	0	0	0	0	2.11	0	0	0	0	0
0.0027	0.0452	0.0223	0.0239	0.101	0.0599	0.0626	0.0412	0.0417	0.217	0.139	0.145	0.115	0.116	0.129	0	0.575	0.391	0.42	0	0	0	0	2.09	0	0	0	0	0
0.0124	0.0443	0.0219	0.0234	0.0992	0.0586	0.0613	0.0403	0.0408	0.212	0.135	0.142	0.112	0.114	0.124	0.13	0.564	0.384	0.413	0	0	0	0	2.07	0	0	0	0	0
0.0122	0.0434	0.0214	0.023	0.0971	0.0573	0.0601	0.0394	0.0399	0.207	0.132	0.138	0.109	0.11	0.113	0.116	0.538	0.366	0.391	0.468	0	0	0	1.93	0	0	0	0	0
0.012	0.0426	0.021	0.0226	0.095	0.0561	0.0589	0.0386	0.0391	0.203	0.129	0.136	0.107	0.108	0.116	0.121	0.544	0.37	0.4	0	0	0	0	2.03	0	0	0	0	0
0.0117	0.0418	0.0206	0.0222	0.0931	0.0549	0.0577	0.0378	0.0384	0.199	0.126	0.133	0.104	0.106	0.113	0.117	0.535	0.364	0.394	0	0	0	0	2.01	0	0	0	0	0
0.0115	0.041	0.0202	0.0219	0.0912	0.0537	0.0566	0.037	0.0376	0.194	0.123	0.13	0.102	0.104	0.11	0.114	0.526	0.358	0.388	0	0	0	0	1.99	0	0	0	0	0
0.0113	0.0402	0.0198	0.0215	0.0893	0.0526	0.0556	0.0362	0.0369	0.19	0.121	0.128	0.0996	0.101	0.107	0.11	0.517	0.353	0.383	0	0	0	0	1.97	0	0	0	0	0
0.0111	0.0395	0.0194	0.0211	0.0876	0.0516	0.0545	0.0355	0.0362	0.186	0.118	0.125	0.0975	0.0994	0.104	0.107	0.509	0.347	0.378	0	0	0	0	1.95	0	0	0	0	0
0.0109	0.0388	0.019	0.0208	0.0859	0.0505	0.0535	0.0348	0.0355	0.183	0.116	0.123	0.0954	0.0974	0.102	0.105	0.501	0.342	0.373	0	0	0	0	1.94	0	0	0	0	0
0.0107	0.0381	0.0187	0.0205	0.0842	0.0495	0.0526	0.0342	0.0349	0.179	0.113	0.12	0.0931	0.0951	0.0953	0.0976	0.48	0.327	3.54	0.489	0	0	0	1.77	0	0	0	0	0
0.0105	0.0374	0.0183	0.0201	0.0826	0.0486	0.0517	0.0336	0.0343	0.175	0.11	0.118	0.0908	0.0927	0.0889	0.0907	0.461	0.314	0.338	0.423	0	0	0	1.68	0	0	0	0	0
0.0103	0.0367	0.018	0.0198	0.0811	0.0476	0.0508	0.033	0.0337	0.171	0.108	0.115	0.0885	0.0905	0.0853	0.0858	0.443	0.302	0.324	0.382	0	0	0	1.62	0	0	0	0	0
0.0101	0.0361	0.0177	0.0195	0.0796	0.0467	0.0499	0.0324	0.0331	0.167	0.105	0.113	0.0863	0.0883	0.0813	0.0817	0.427	0.291	0.311	0.352	0	0	0	1.55	0	0	0	0	0
0.00997	0.0354	0.0173	0.0192	0.0781	0.0458	0.0491	0.0318	0.0325	0.163	0.103	0.11	0.0842	0.0862	0.0777	0.0782	0.412	0.279	0.3	0.327	0.346	0	0	1.49	0	0	0	0	0
0.0098	0.0348	0.017	0.0189	0.0767	0.045	0.0482	0.0312	0.032	0.16	0.101	0.108	0.0822	0.0842	0.0744	0.0751	0.397	0.268	0.29	0.307	0.324	0	0	1.44	0	0	0	0	0
0.00962	0.0342	0.0167	0.0187	0.0753	0.0442	0.0475	0.0307	0.0314	0.156	0.0986	0.106	0.0803	0.0822	0.0716	0.0723	0.384	0.258	0.281	0.291	0.306	0	0	1.4	0	0	0	0	0
0.00946	0.0336	0.0164	0.0184	0.074	0.0434	0.0467	0.0302	0.0309	0.153	0.0964	0.104	0.0784	0.0803	0.069	0.0698	0.375	0.25	0.274	0.287	0.304	0	0	1.45	0	0	0	0	0
0.00929	0.0331	0.0161	0.0181	0.0727	0.0426	0.0459	0.0297	0.0304	0.15	0.0943	0.102	0.0767	0.0785	0.0666	0.0675	0.363	0.242	0.266	0.273	0.288	0	0	1.41	0	0	0	0	0
0.00913	0.0325	0.0158	0.0179	0.0714	0.0418	0.0452	0.0292	0.03	0.147	0.0923	0.0995	0.075	0.0768	0.0645	0.0653	0.35	0.233	0.256	0.252	0.265	0	0	1.29	0	0	0	0	0
0.00898	0.032	0.0155	0.0176	0.0702	0.0411	0.0445	0.0287	0.0295	0.144	0.0903	0.0976	0.0733	0.0751	0.0625	0.0633	0.337	0.224	0.246	0.235	0.244	0	0	1.15	0.913	0	0	0	0
0.00882	0.0314	0.0153	0.0174	0.0689	0.0403	0.0438	0.0283	0.029	0.141	0.0884	0.0957	0.0718	0.0735	0.0606	0.0614	0.325	0.215	0.237	0.22	0.221	0	0	1.04	0.808	0	0	0	0
0.00867	0.0309	0.015	0.0171	0.0678	0.0396	0.0432	0.0278	0.0286	0.138	0.0866	0.0939	0.0703	0.072	0.0589	0.0597	3.14	0.207	0.228	0.208	0.214	0	0	0.955	0.713	0.832	0	0	0
0.00852	0.0304	0.0147	0.0169	0.0666	0.039	0.0425	0.0274	0.0282	0.135	0.0848	0.0921	0.0688	0.0706	0.0573	0.058	0.303	0.2	0.22	0.197	0.203	0	0	0.887	0.645	0.753	0	0	0
0.00838	0.0299	0.0145	0.0167	0.0655	0.0383	0.0419	0.027	0.0278	0.132	0.0831	0.0904	0.0674	0.0691	0.0558	0.0565	0.293	0.193	0.212	0.188	0.194	0	0	0.83	0.593	0.692	0	0	0
0.00823	0.0294	0.0142	0.0165	0.0644	0.0376	0.0413	0.0266	0.0274	0.13	0.0814	0.0887	0.0661	0.0678	0.0543	0.055	0.284	0.187	0.205	0.179	0.185	0	0	0.782	0.551	0.644	0	0	0
0.00809	0.0289	0.014	0.0162	0.0634	0.037	0.047	0.0262	0.027	0.127	0.0798	0.0871	0.0648	0.0665	0.053	0.0537	0.275	0.181	0.199	0.172	0.177	0	0	0.714	0.496	0.571	0	0	2.65
0.00714	0.0285	0.0137	0.016	0.0624	0.0364	0.0401	0.0258	0.0266	0.125	0.0782	0.0856	0.0635	0.0652	0.0517	0.0524	0.266	0.175	0.192	0.165	0.17	0	0	0.657	0.456	0.52	0	0	2.19
0.00782	0.028	0.0135	0.0158	0.0613	0.0358	0.0395	0.0254	0.0262	0.122	0.0767	0.0841	0.0623	0.064	0.0505	0.0512	0.258	0.169	0.187	0.158	0.163	0	0	0.617	0.429	0.484	0.608	0	1.99
0.00769	0.0275	0.0133	0.0156	0.0603	0.0352	0.039	0.025	0.0259	0.12	0.0752	0.0826	0.0611	0.0628	0.0493	0.05	0.251	0.164	0.181	0.152	0.157	0	0	0.585	0.408	0.456	0.535	0	1.86
0.00756	0.0271	0.013	0.0154	0.0593	0.0346	0.0384	0.0247	0.0255	0.118	0.0738	0.0812	0.06	0.0617	0.0482	0.0489	0.245	0.161	0.177	0.149	0.153	0.207	0	0.58	0.401	0.459	0.558	0	1.93
0.00743	0.0267	0.0128	0.0152	0.0584	0.034	0.0379	0.0243	0.0252	0.115	0.0724	0.0798	0.0589	0.0606	0.0472	0.0479	0.238	0.157	0.173	0.145	0.149	0.193	0	0.565	0.39	0.45	0.543	0	1.91
0.0073	0.0262	0.0126	0.015	0.0575	0.0334	0.0374	0.024	0.0248	0.113	0.071	0.0785	0.0579	0.0596	0.0462	0.0469	0.233	0.153	0.169	0.142	0.145	0.182	0	0.552	0.38	0.442	0.53	0	1.89
0.00718	0.0258	0.0124	0.0149	0.0565	0.0329	0.0369	0.0237	0.0245	0.111	0.0697	0.0772	0.0569	0.0585	0.0452	0.046	0.228	0.15	0.166	0.139	0.142	0.183	0	0.55	0.376	0.449	0	0	1.99
0.00705	0.0254	0.0112	0.0147	0.0557	0.0324	0.0364	0.0233	0.0242	0.109	0.0684	0.076	0.0559	0.0576	0.0443	0.045	0.222	0.146	0.162	0.136	0.139	0.174	0.187	0.538	0.367	0.441	0	0	1.97
0.00693	0.025	0.0119	0.0145	0.0548	0.0318	0.0359	0.023	0.0239	0.107	0.0672	0.0748	0.0549	0.0566	0.0435	0.0442	0.217	0.142	0.159	0.132	0.136	0.159	0.166	0.516	0.353	0.421	0.516	0	1.83
0.00681	0.0246	0.0117	0.0143	0.0539	0.0313	0.0355	0.0227	0.0236	0.105	0.066	0.0736	0.054	0.0557	0.0427	0.0434	0.213	0.139	0.156	0.13	0.133	0.16	0.169	0.515	0.351	0.427	0	0	1.93
0.0067	0.0242	0.0115	0.0141	0.0531	0.0308	0.035	0.0224	0.0233	0.104	0.0648	0.0725	0.0531	0.0548	0.0419	0.0426	0.208	0.136	0.153	0.127	0.131	0.154	0.162	0.505	0.344	0.421	0	0	1.91
0.00658	0.0238	0.0113	0.014	0.0523	0.0303	0.0346	0.0221	0.023	0.102	0.0636	0.0714	0.0523	0.054	0.0411	0.0418	0.204	0.133	0.15	0.124	0.128	0.149	0.156	0.495	0.337	0.415	0	0	1.89
0.00646	0.0234	0.0111	0.0138	0.0515	0.0298	0.0341	0.0218	0.0227	0.0999	0.0625	0.0703	0.0515	0.0532	0.0404	0.0411	0.199	0.13	0.148	0.121	0.125	0.144	0.151	0.485	0.331	0.41	0	0	1.87
0.00635	0.0231	0.0109	0.0137	0.0507	0.0293	0.0337	0.0216	0.0225	0.0982	0.0614	0.0693	0.0506	0.0524	0.0397	0.0404	0.195	0.127	0.145	0.119	0.123	0.14	0.146	0.476	0.325	0.405	0	0	1.85
0.00624	0.0227	0.0107	0.0135	0.0499	0.0289	0.0333	0.0213	0.0222	0.0966	0.0603	0.0683	0.0499	0.0516	0.039	0.0397	0.191	0.125	0.142	0.116	0.121	0.136	0.142	0.467	0.319	0.4	0	0	1.84
