K	L1	L2	L3	M1	M2	M3	M4	M5	N1	N2	N3	N4	N5	N6	N7	O1	O2	O3	O4	O5	O6	O7	P1	P2	P3	P4	P5	Q1
1s	2s	2p-	2p+	3s	3p-	3p+	3d-	3d+	4s	4p-	4p+	4d-	4d+	4f-	4f+	5s	5p-	5p+	5d-	5d+	5f-	5f+	6s	6p-	6p+	6d-	6d+	7s
0.849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.329	1.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.237	1.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.186	1	0.615	0.615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.153	0.804	0.488	0.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.13	0.672	0.407	0.407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.113	0.579	0.35	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	0.508	0.307	0.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.09	0.453	0.274	0.274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0815	0.39	0.225	0.225	2.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0745	0.342	0.192	0.192	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0686	0.305	0.168	0.168	1.24	0.919	0.919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0635	0.275	0.149	0.149	1.04	0.744	0.744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0592	0.251	0.134	0.134	0.897	0.631	0.631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0553	0.23	0.122	0.122	0.794	0.551	0.551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.052	0.213	0.112	0.112	0.713	0.49	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.049	0.198	0.104	0.104	0.649	0.442	0.442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0464	0.185	0.0965	0.0965	0.57	0.376	0.376	0	0	2.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.044	0.174	0.0902	0.0902	0.508	0.33	0.33	0	0	1.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0418	0.164	0.0847	0.0847	0.471	0.304	0.304	0.31	0.31	1.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
